departamento,provincia,distrito,varon_urbano,mujer_urbano,varon_rural,mujer_rural,lon,lat
Amazonas,Chachapoyas,Chachapoyas,15131,16895,295,268,-77.84863298590412,-6.236461911687826
Amazonas,Chachapoyas,Asunción,0,0,134,128,-77.75078191808024,-5.984909162078139
Amazonas,Chachapoyas,Balsas,0,0,596,540,-77.9588385328801,-6.793200349916191
Amazonas,Chachapoyas,Cheto,0,0,317,325,-77.68747502396275,-6.302715787003905
Amazonas,Chachapoyas,Chiliquín,0,0,303,282,-77.75273558932025,-6.08173822428958
Amazonas,Chachapoyas,Chuquibamba,0,0,916,865,-77.90558149675567,-6.924271599954324
Amazonas,Chachapoyas,Granada,0,0,238,242,-77.58699681806152,-6.106421036951247
Amazonas,Chachapoyas,Huancas,0,0,995,263,-77.87832567557254,-6.138161161558315
Amazonas,Chachapoyas,La Jalca,1174,1216,775,813,-77.78758194368942,-6.508770537030614
Amazonas,Chachapoyas,Leimebamba,1411,1387,430,392,-77.8129864003467,-6.835991537629326
Amazonas,Chachapoyas,Levanto,0,0,396,398,-77.82494466541247,-6.313469724897857
Amazonas,Chachapoyas,Magdalena,0,0,414,438,-77.81639961403977,-6.407757287268964
Amazonas,Chachapoyas,Mariscal Castilla,0,0,685,682,-77.77030366078515,-6.596796412274557
Amazonas,Chachapoyas,Molinopampa,0,0,1061,1115,-77.6119961323896,-6.227860349575423
Amazonas,Chachapoyas,Montevideo,0,0,245,251,-77.72584370480766,-6.6333666615921345
Amazonas,Chachapoyas,Olleros,0,0,192,183,-77.67791733199606,-5.9896922864198245
Amazonas,Chachapoyas,Quinjalca,0,0,353,416,-77.6842577793221,-6.089870037672057
Amazonas,Chachapoyas,San Francisco De Daguas,0,0,150,145,-77.74820485493555,-6.236750974477843
Amazonas,Chachapoyas,San Isidro De Maino,0,0,313,267,-77.82673362644086,-6.351299724302805
Amazonas,Chachapoyas,Soloco,0,0,654,570,-77.7667026207476,-6.305758287464926
Amazonas,Chachapoyas,Sonche,0,0,123,124,-77.78427292310349,-6.191123037248332
Amazonas,Bagua,Bagua,12098,12682,1231,1091,-78.53630680183525,-5.566200536675382
Amazonas,Bagua,Aramango,1437,1345,3665,3318,-78.45536114137093,-5.361710098891905
Amazonas,Bagua,Copallín,1222,1161,1143,1069,-78.3998534852175,-5.64711566135864
Amazonas,Bagua,El Parco,0,0,640,576,-78.46514261244158,-5.644614724090218
Amazonas,Bagua,Imaza,2245,2472,10294,10151,-78.41234465373594,-5.011090848014192
Amazonas,Bagua,La Peca,1987,1938,1236,1099,-78.43504140436487,-5.589386286597801
Amazonas,Bongará,Jumbilla,0,0,676,661,-77.81153076863839,-5.966203349405021
Amazonas,Bongará,Chisquilla,0,0,167,139,-77.71585302432518,-5.917095661785311
Amazonas,Bongará,Churuja,0,0,146,141,-77.93062740425427,-6.00815653714443
Amazonas,Bongará,Corosha,0,0,388,384,-77.80670639294252,-5.814145474234209
Amazonas,Bongará,Cuispes,0,0,316,353,-77.92272538604347,-5.914521475185893
Amazonas,Bongará,Florida,1842,1897,1153,1107,-77.97035017832872,-5.814145474234209
Amazonas,Bongará,Jazán,3241,3165,588,586,-78.01663251846855,-5.942981537118214
Amazonas,Bongará,Recta,0,0,108,100,-77.77771915588036,-5.921901349217848
Amazonas,Bongará,San Carlos,0,0,249,240,-77.85812994344181,-6.009381661534405
Amazonas,Bongará,Shipasbamba,0,0,780,759,-78.05896890323388,-5.863965787341158
Amazonas,Bongará,Valera,0,0,431,443,-77.86264710809246,-6.083350223983615
Amazonas,Bongará,Yambrasbamba,1064,1135,1702,1676,-77.85069691834121,-5.45099822388886
Amazonas,Condorcanqui,Nieva,1948,2127,7368,7183,-77.96015747310196,-4.889500286059302
Amazonas,Condorcanqui,El Cenepa,0,0,4872,5019,-78.3501546888424,-4.027444534887337
Amazonas,Condorcanqui,Río Santiago,0,0,6882,7071,-77.91538892024084,-3.7441405342582073
Amazonas,Luya,Lámud,0,0,1010,1217,-77.92366180608019,-6.1075468496573535
Amazonas,Luya,Camporredondo,2150,1994,1242,1087,-78.3380812560568,-6.178833412531901
Amazonas,Luya,Cocabamba,0,0,996,885,-78.02018111639845,-6.617186724387778
Amazonas,Luya,Colcamar,0,0,890,963,-78.01840197933356,-6.335586974559192
Amazonas,Luya,Conila,0,0,920,920,-78.22240510551498,-6.101455349784516
Amazonas,Luya,Inguilpata,0,0,251,247,-78.02300260763556,-6.260318411515414
Amazonas,Luya,Longuita,0,0,443,396,-78.00218025576072,-6.400962099821015
Amazonas,Luya,Lonya Chico,0,0,430,412,-78.02165411464163,-6.211752786661748
Amazonas,Luya,Luya,1087,1271,791,810,-77.98264857469296,-6.1673730369360555
